,0
0,12
1,5
2,3
3,3
4,12
5,10
6,12
7,12
8,12
9,14
10,3
11,10
12,8
13,11
14,10
15,10
16,10
17,6
18,2
19,12
20,11
21,6
22,14
23,2
24,2
25,12
26,11
27,5
28,14
29,6
30,2
31,10
32,3
33,12
34,8
35,14
36,12
37,2
38,2
39,12
40,8
41,2
42,10
43,6
44,6
45,12
46,12
47,2
48,2
49,14
50,2
51,14
52,11
53,2
54,6
55,12
56,10
57,5
58,14
59,3
60,10
61,11
62,3
63,3
64,12
65,14
66,12
67,3
68,14
69,12
70,14
71,8
72,6
73,12
74,11
75,2
76,10
77,2
78,5
79,2
80,2
81,12
82,10
83,3
84,12
85,10
86,2
87,6
88,14
89,12
90,10
91,14
92,6
93,12
94,12
95,5
96,12
97,10
98,12
99,14
100,5
101,6
102,12
103,10
104,5
105,14
106,2
107,6
108,10
109,10
110,5
111,6
112,10
113,2
114,5
115,14
116,2
117,2
118,6
119,3
120,14
121,12
122,14
123,14
124,6
125,2
126,10
127,12
128,12
129,2
130,10
131,10
132,2
133,6
134,6
135,5
136,3
137,8
138,2
139,14
140,11
141,12
142,3
143,14
144,12
145,12
146,14
147,14
148,2
149,11
150,11
151,2
152,6
153,12
154,6
155,11
156,14
157,14
158,8
159,12
160,10
161,12
162,3
163,8
164,12
165,11
166,5
167,2
168,5
169,2
170,12
171,2
172,5
173,10
174,10
175,12
176,10
177,14
178,2
179,5
180,6
181,6
182,12
183,12
184,10
185,6
186,11
187,6
188,5
189,2
190,14
191,2
192,3
193,12
194,3
195,6
196,10
197,2
198,8
199,14
200,10
201,6
202,3
203,3
204,10
205,14
206,12
207,3
208,12
209,10
210,2
211,10
212,10
213,12
214,8
215,8
216,2
217,10
218,2
219,6
220,6
221,12
222,10
223,6
224,6
225,6
226,14
227,6
228,14
229,3
230,5
231,12
232,8
233,2
234,11
235,2
236,2
237,3
238,10
239,3
240,14
241,14
242,8
243,6
244,3
245,12
246,11
247,6
248,2
249,6
250,12
251,2
252,12
253,5
254,6
255,2
256,14
257,14
258,14
259,10
260,3
261,12
262,2
263,6
264,14
265,6
266,10
267,12
268,3
269,3
270,8
271,6
272,5
273,14
274,10
275,11
276,3
277,12
278,5
279,12
280,10
281,14
282,5
283,12
284,10
285,8
286,6
287,12
288,10
289,8
290,11
291,12
292,11
293,6
294,3
295,14
296,12
297,8
298,12
299,14
300,10
301,6
302,2
303,3
304,12
305,2
306,6
307,6
308,8
309,2
310,14
311,14
312,2
313,5
314,2
315,10
316,10
317,10
318,12
319,10
320,3
321,12
322,3
323,12
324,11
325,8
326,5
327,10
328,3
329,11
330,12
331,12
332,12
333,2
334,14
335,12
336,5
337,5
338,11
339,14
340,3
341,14
342,2
343,10
344,2
345,3
346,6
347,14
348,12
349,10
350,10
351,12
352,3
353,8
354,12
355,11
356,8
357,12
358,12
359,12
360,3
361,12
362,12
363,12
364,14
365,8
366,3
367,12
368,11
369,10
370,14
371,8
372,8
373,11
374,10
375,8
376,5
377,12
378,2
379,12
380,14
381,2
382,8
383,14
384,2
385,11
386,10
387,8
388,2
389,2
390,3
391,10
392,2
393,2
394,12
395,12
396,8
397,6
398,12
399,3
400,10
401,6
402,10
403,6
404,6
405,2
406,3
407,12
408,2
409,2
410,3
411,14
412,2
413,8
414,11
415,11
416,11
417,10
418,2
419,11
420,10
421,10
422,2
423,6
424,8
425,2
426,12
427,10
428,12
429,6
430,12
431,11
432,3
433,12
434,2
435,5
436,12
437,10
438,2
439,3
440,12
441,14
442,12
443,11
444,3
445,3
446,5
447,12
448,12
449,12
450,11
451,2
452,11
453,12
454,10
455,14
456,8
457,10
458,6
459,3
460,2
461,2
462,12
463,11
464,14
465,2
466,14
467,2
468,14
469,5
470,12
471,6
472,5
473,6
474,11
475,14
476,10
477,12
478,2
479,12
480,5
481,11
482,3
483,6
484,5
485,10
486,8
487,8
488,14
489,6
490,5
491,11
492,8
493,10
494,11
495,12
496,12
497,3
498,12
499,14
500,12
501,2
502,11
503,2
504,2
505,14
506,10
507,3
508,3
509,2
510,10
511,5
512,2
513,3
514,12
515,2
516,12
517,14
518,5
519,12
520,14
521,8
522,12
523,6
524,12
525,14
526,14
527,2
528,14
529,2
530,2
531,10
532,2
533,11
534,12
535,11
536,12
537,12
538,11
539,12
540,6
541,2
542,3
543,10
544,14
545,10
546,2
547,6
548,14
549,11
550,10
551,2
552,10
553,8
554,3
555,10
556,12
557,12
558,10
559,6
560,6
561,12
562,3
563,12
564,10
565,11
566,14
567,3
568,14
569,12
570,12
571,5
572,2
573,14
574,8
575,12
576,3
577,10
578,12
579,3
580,3
581,10
582,11
583,8
584,3
585,3
586,11
587,12
588,10
589,8
590,8
591,11
592,2
593,10
594,10
595,14
596,3
597,14
598,14
599,12
600,2
601,3
602,2
603,2
604,12
605,11
606,2
607,11
608,3
609,12
610,3
611,2
612,6
613,3
614,12
615,11
616,3
617,12
